t=1655301844.2073433;temp=88.9375;heater=4.424804539952295;scale=-0.039159856896;pressure=4.095;pump=127;stage=4;
t=1655301844.2549822;temp=88.875;heater=4.424804539952295;scale=-0.034876747548000006;pressure=4.095;pump=127;stage=4;
t=1655301844.3000448;temp=88.875;heater=4.424804539952295;scale=-0.034876747548000006;pressure=4.095;pump=127;stage=4;
t=1655301844.357082;temp=88.8125;heater=4.424804539952295;scale=-0.036865334031;pressure=4.095;pump=127;stage=4;
t=1655301844.4024906;temp=88.8125;heater=4.424804539952295;scale=-0.036865334031;pressure=4.095;pump=127;stage=4;
t=1655301844.4599848;temp=88.8125;heater=4.424804539952295;scale=-0.028605051717000004;pressure=4.095;pump=127;stage=4;
t=1655301844.505482;temp=88.8125;heater=4.424804539952295;scale=-0.028605051717000004;pressure=4.095;pump=127;stage=4;
t=1655301844.5505185;temp=88.875;heater=4.424804539952295;scale=-0.022945228650000003;pressure=4.095;pump=127;stage=4;
t=1655301844.607813;temp=88.875;heater=4.424804539952295;scale=-0.022945228650000003;pressure=4.095;pump=127;stage=4;
t=1655301844.653689;temp=88.8125;heater=4.424804539952295;scale=-0.029675829054000003;pressure=4.095;pump=127;stage=4;
t=1655301844.7110372;temp=88.8125;heater=4.424804539952295;scale=-0.029675829054000003;pressure=4.095;pump=127;stage=4;
t=1655301844.7566488;temp=88.75;heater=4.424804539952295;scale=-0.022333355886;pressure=4.095;pump=127;stage=4;
t=1655301844.8022177;temp=88.75;heater=4.424804539952295;scale=-0.022333355886;pressure=4.095;pump=127;stage=4;
t=1655301844.8590338;temp=88.8125;heater=4.424804539952295;scale=-0.017132437392000002;pressure=4.095;pump=127;stage=4;
t=1655301844.9071012;temp=88.8125;heater=5.176352374346836;scale=-0.017132437392000002;pressure=4.095;pump=127;stage=4;
t=1655301844.9536011;temp=88.75;heater=5.176352374346836;scale=-0.017132437392000002;pressure=4.095;pump=127;stage=4;
t=1655301845.0098386;temp=88.75;heater=5.176352374346836;scale=-0.028758019908;pressure=4.095;pump=127;stage=4;
t=1655301845.0558765;temp=88.6875;heater=5.176352374346836;scale=-0.028758019908;pressure=4.095;pump=127;stage=4;
t=1655301845.1016545;temp=88.6875;heater=5.176352374346836;scale=-0.038395015941000005;pressure=4.095;pump=127;stage=4;
t=1655301845.1587799;temp=88.6875;heater=5.176352374346836;scale=-0.038395015941000005;pressure=4.095;pump=127;stage=4;
t=1655301845.2054248;temp=88.6875;heater=5.176352374346836;scale=-0.027840210762000002;pressure=4.095;pump=127;stage=4;
t=1655301845.2507691;temp=88.75;heater=5.176352374346836;scale=-0.027840210762000002;pressure=4.095;pump=127;stage=4;
t=1655301845.3072438;temp=88.75;heater=5.176352374346836;scale=-0.023251165032;pressure=4.095;pump=127;stage=4;
t=1655301845.356418;temp=88.6875;heater=5.176352374346836;scale=-0.023251165032;pressure=4.095;pump=127;stage=4;
t=1655301845.4045033;temp=88.6875;heater=5.176352374346836;scale=-0.02600459247;pressure=4.095;pump=127;stage=4;
t=1655301845.4512656;temp=88.6875;heater=5.176352374346836;scale=-0.02600459247;pressure=4.093;pump=127;stage=4;
t=1655301845.5036998;temp=88.625;heater=5.176352374346836;scale=-0.030287701818;pressure=4.093;pump=127;stage=4;
